threshold,n_retained,irr,ci_lower,ci_upper,p_value
0.0,107875,1.1131139250647193,0.746653855305555,1.6594337541670328,0.5989006631693872
0.05,105082,1.1212866110579727,0.752125723094568,1.6716402930149348,0.5742052196951357
0.1,65177,1.1680653184217666,0.7832048404909778,1.7420430997903922,0.4462105495610802
0.15,52376,1.2906161534966583,0.8652369382380409,1.9251259187552754,0.21112971194935737
0.2,23991,1.477032520325203,0.9890232162572861,2.205838073603613,0.056646834999444465
0.25,15136,1.3478459138365526,0.9010640946207055,2.016159137059623,0.14625083231595234
0.3,9187,1.4618491606113744,0.9751146189841765,2.1915402833426887,0.06606534630785552
0.35,5166,1.0884381970019186,0.7204352724541118,1.6444193586707634,0.6873057113834848
0.4,3767,1.0416320326786508,0.6854089434561083,1.5829926088084934,0.8485151966642576
0.45,2800,0.9812684225539592,0.640609069336547,1.503081619026654,0.9307417823202235
0.5,2004,1.1535310797984888,0.7486053806967637,1.777483820410937,0.5173428365850219
0.55,1551,1.233801831224121,0.795102113045936,1.9145552926533949,0.34865873897464605
0.6,1198,1.2452488687782792,0.7938321908853353,1.9533659166230084,0.3396554995445925
0.65,1025,1.347578347578348,0.8549781891189223,2.123992665512782,0.19878075129408923
0.7,838,1.484892086330936,0.9352640018245404,2.357520982040202,0.09369827873716553
0.75,642,1.581666909975949,0.9820093749939803,2.5475013557056947,0.05938782993443822
0.8,397,1.4032634032900397,0.826426839417799,2.3827253485624564,0.20976406943317605
0.85,118,1.3994082840240236,0.6688181915193493,2.928065609199875,0.3723290595291019
0.9,29,1.5266272193525583,0.43311643016792545,5.38097958085894,0.5104211440385455
