feature,rf_importance
plate_low_snr_frac,0.10365176740452756
plate_quality_GOOD,0.07303379930702451
plate_elongation_mean,0.06502662962068599
red_gradient_magnitude,0.061943926213238555
plate_quality_MODERATE,0.05984080650073924
red_sharpness_2nd,0.05678473532519911
red_aperture_flux,0.055042704325899514
red_symmetry_score,0.052540623751182694
red_ellipticity,0.0516695531120689
red_fits_fwhm,0.051415168707841775
plate_snr_std,0.050376577507313
red_n_connected_px,0.048378945645433206
red_dist_to_edge_px,0.045841675535524096
red_fits_snr,0.04579143682719713
candidate_score,0.03586346953089683
plate_n_high_snr,0.029751293028914806
snr,0.024645106805454585
sharpness,0.020940356648418
psf_ratio,0.01996515761007355
compactness,0.019332793367182844
elongation,0.018763792534238082
n_comparison_stars,0.006230485243767666
red_near_bright_star,0.003169195447178374
