feature,mean_abs_shap
plate_low_snr_frac,0.05815313834985342
plate_quality_GOOD,0.04548148006774946
plate_quality_MODERATE,0.043451837802904236
plate_elongation_mean,0.041403702441414086
plate_snr_std,0.0311688689386235
candidate_score,0.030156847066412532
red_gradient_magnitude,0.022061904393384537
red_n_connected_px,0.020284616789644137
red_fits_fwhm,0.019015592610011466
red_aperture_flux,0.018280392936135467
red_dist_to_edge_px,0.01640032763718515
plate_n_high_snr,0.015899506190669845
red_symmetry_score,0.01562970157198654
red_sharpness_2nd,0.014267140578983718
red_fits_snr,0.013643754660812838
red_ellipticity,0.011919890104913924
psf_ratio,0.007560992157581005
snr,0.007157312940605478
sharpness,0.006524200013243542
elongation,0.006068152242844312
compactness,0.003784160661932216
n_comparison_stars,0.0018207280929642563
red_near_bright_star,0.0013152671279057118
